index,provider ID,provider name,provider category,provider location,flow ID,flow name,flow category,flow unit,flow type,provider_key
8,d6ad7035-5498-3237-8abd-50e93b1eef89,"Diesel, combusted in industrial equipment","22: Utilities/2213: Water, Sewage and Other Systems",RNA,d815ff18-015c-3afb-be18-be03bdf325da,"Diesel, combusted in industrial equipment","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,"diesel, combusted in industrial equipment"
21,1e4fd434-9cd2-402a-8ebf-43891d0dd591,"Steam, purchased by containerboard mills","22: Utilities/2213: Water, Sewage and Other Systems",RNA,caca451d-e5df-4bf4-91f8-2c4be75af6dc,"Steam, purchased by containerboard mills","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",MJ,product,"steam, purchased by containerboard mills"
23,a8b6bb7c-0274-41de-8385-ef5f8a03f9bf,"Natural gas, processed, for material use, at plant","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",,c837f7c6-1f8d-4f62-ade8-4f2a73b41b1a,"Natural gas, production mixture, to material use","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"natural gas, processed, for material use, at plant"
25,f347daea-82be-4e62-8872-a0dc0ca24ca3,"Natural gas, combusted in industrial boiler","22: Utilities/2213: Water, Sewage and Other Systems",RNA,ea8515c5-e3d4-4f42-a856-67a9b85b30a0,"Natural gas, combusted in industrial boiler","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,"natural gas, combusted in industrial boiler"
27,d549cd32-3e84-327e-86e8-452772ff7c56,"LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)","31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills",RNA,4c536a81-63c3-3f13-9e03-4dae3da1a6df,"LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)","Technosphere flows/31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills",m3,product,"lpg, combusted in industrial boiler, at pulp and paper mill (excl.)"
28,0d4adbb3-81bb-45c5-bf26-734c76ff3108,"Hydrochloric acid, HCl; MDI coproduct; at plant, 100% HCl",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,c3019f2c-8e84-4f0d-9529-093d2d0ae5e1,"Hydrochloric acid, at plant, kg",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"hydrochloric acid, hcl; mdi coproduct; at plant, 100% hcl"
29,a3e150d0-770e-4e2a-9b19-f7daa8cda38b,Chlorine; chlor-alkali electrolysis; at plant,31-33: Manufacturing/3251: Basic Chemical Manufacturing,US,d12c4a32-12a8-4673-9b14-5d227d2a128e,Sodium hydroxide; at plant,Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,chlorine; chlor-alkali electrolysis; at plant
30,bbb59026-6f14-46f6-9e3d-bc60ed8d45c5,"Sodium hypochlorite, 15% in H2O, at plant Bridge; USLCI to USEEIO",Bridge Processes/USLCI to USEEIO,,4b455c7c-4815-3015-bf95-1e4db4959a2e,"Sodium hypochlorite, 15% in H2O, at plant",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"sodium hypochlorite, 15% in h2o, at plant bridge; uslci to useeio"
31,7509b8fa-8b80-4e74-aa02-0555088add91,Process water (cut-off),Z1: Background,,113ceccf-60f5-32ee-952a-39d70ecb38c6,"Water, process",Technosphere flows/CUTOFF Flows,kg,product,process water (cut-off)
33,063f4c92-8583-49bf-9d5e-ca6795b52ece,"Solid waste treatment, sanitary landfill (cut-off)",Z1: Background,,b6b68953-2753-4660-b084-44d07e1bde58,"Disposal, solid waste to sanitary landfill",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,"solid waste treatment, sanitary landfill (cut-off)"
35,883c3bbc-a1c4-4229-8c20-8e1a27f6ccdf,Plastic Incineration CO2,Z2: Packaging Economy/Decision Variables/CCS,,229111f4-2107-408d-9fb4-d10f0d62db55,plastic incineration CO2,,kg,waste,plastic incineration co2
38,70d2004a-9f80-48ce-a86c-50e85dd6a637,"Petroleum refined, for material use, at plant",31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,,3671e08b-0f5d-423e-9805-3cbd3f7b909a,"Petroleum refined, to material use, at refinery",Technosphere flows/31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,kg,product,"petroleum refined, for material use, at plant"
39,3ca7a144-e2f3-4963-8c63-768cf0853cee,"Petroleum refined, for energy use, at plant",31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,,b022d34e-2838-4494-8a84-9b6aa57e575a,"Petroleum refined, to energy use, at refinery",Technosphere flows/31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,kg,product,"petroleum refined, for energy use, at plant"
40,d3db6ab2-33de-453b-ac74-0567ba7fa95b,"Natural gas, processed, for energy use, at plant","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",,1a34bf95-f897-4af9-b70c-368fce9e41d6,"Natural gas, production mixture, to energy use","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"natural gas, processed, for energy use, at plant"
41,d3e13675-1455-375f-a557-bb8234de75ff,"Gasoline, combusted in equipment","22: Utilities/2213: Water, Sewage and Other Systems",RNA,bc38e349-1ccf-3855-a615-a4f581ab875b,"Gasoline, combusted in equipment","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,"gasoline, combusted in equipment"
